Year,Estimates,Standard.Error.of.Estimates,is_interpolated
1953,299.6,25.4,False
1954,270.775,22.85,True
1955,241.95,20.3,False
1956,236.475,19.05,True
1957,231.0,17.8,False
1958,215.8,17.1,True
1959,200.6,16.4,False
1960,207.0,16.6,False
1961,206.3,16.8,False
1962,197.75,18.4,False
1963,177.2,11.5,False
1964,172.3,9.9,False
1965,173.33333333333334,11.2,False
1966,153.25,12.45,False
1967,179.85,13.5,False
1968,166.0,10.2,False
1969,163.05,14.5,False
1970,149.84,12.266666666666666,False
1971,149.9,10.3,False
1972,146.15,10.6,False
1973,146.1,11.799999999999999,False
1974,137.8,9.2,False
1975,139.85,10.75,False
1976,125.26666666666667,10.233333333333333,False
1977,124.837649,10.21643344,False
1978,136.0,9.861109486166665,False
1979,108.4689094275,9.505785532333332,False
1980,120.87342675,11.31973633,False
1981,104.618378,8.25592135,False
1982,91.37173668,7.345965614,False
1983,104.93070831666667,7.6525204265,False
1984,110.9278017,10.97990266,False
1985,96.56503787,9.71816870325,False
1986,87.33074654,8.722812522,False
1987,98.7412198975,8.77076139975,False
1988,88.53531843,8.31317544,False
1989,87.54366142,8.114026973,False
1990,101.4443340775,10.499634417500001,False
1991,108.50253894666666,9.800419569666667,False
1992,110.59350053333333,9.933215188,False
1993,120.7010015,11.297793313333335,False
1994,117.5143297,10.7240337955,False
1995,107.45341751999999,10.35997453875,False
1996,101.3864241025,8.4463126545,False
1997,121.38640916666667,10.055493014333335,False
1998,114.27739586666667,9.685954361333334,False
1999,100.85886895499999,8.535503991,False
2000,102.19039633,9.05566985275,False
2001,108.87155945,8.8773066725,False
2002,93.66207718666665,7.646190191666666,False
2003,83.44776538,6.459073788,False
2004,71.72246786,5.832581181,False
2005,69.31540619,8.0769306295,False
2006,61.17459182499999,5.0942106595,False
2007,56.25462646,4.483915382,False
2008,57.5011368,4.9424747685,False
2009,53.95566228,4.521650766,False
2010,50.435234394999995,4.0440714369999995,False
2011,64.33940911,7.2292650585,False
2012,50.81433759,4.4567331249999995,False
2013,49.51086042,4.400742605,False
2014,41.77151559,3.390219892,False
2015,40.607686397500004,4.11954586075,True
2016,39.443857205,4.8488718295,False
2017,41.0941784675,4.02379094375,True
2018,42.74449973,3.198710058,False
2019,40.55452,3.1150964555,False
2020,39.98125358,3.031482853,False
2021,38.5178428,3.534736255,False
