Year,Estimates,Standard.Error.of.Estimates
1953,299.6,25.4
1955,241.95,20.3
1957,231.0,17.8
1959,200.6,16.4
1960,207.0,
1961,206.3,16.8
1962,197.75,18.4
1963,177.2,11.5
1964,172.3,9.9
1965,173.33333333333334,11.2
1966,153.25,12.45
1967,179.85,13.5
1968,166.0,10.2
1969,163.05,14.5
1970,149.84,12.266666666666666
1971,149.9,10.3
1972,146.15,10.6
1973,146.1,11.799999999999999
1974,137.8,9.2
1975,139.85,10.75
1976,125.26666666666667,10.233333333333333
1977,124.837649,10.21643344
1978,136.0,
1979,108.4689094275,9.505785532333332
1980,120.87342675,11.31973633
1981,104.618378,8.25592135
1982,91.37173668,7.345965614
1983,104.93070831666667,7.6525204265
1984,110.9278017,10.97990266
1985,96.56503787,9.71816870325
1986,87.33074654,8.722812522
1987,98.7412198975,8.77076139975
1988,88.53531843,8.31317544
1989,87.54366142,8.114026973
1990,101.4443340775,10.499634417500001
1991,108.50253894666666,9.800419569666667
1992,110.59350053333333,9.933215188
1993,120.7010015,11.297793313333335
1994,117.5143297,10.7240337955
1995,107.45341751999999,10.35997453875
1996,101.3864241025,8.4463126545
1997,121.38640916666667,10.055493014333335
1998,114.27739586666667,9.685954361333334
1999,100.85886895499999,8.535503991
2000,102.19039633,9.05566985275
2001,108.87155945,8.8773066725
2002,93.66207718666665,7.646190191666666
2003,83.44776538,6.459073788
2004,71.72246786,5.832581181
2005,69.31540619,8.0769306295
2006,61.17459182499999,5.0942106595
2007,56.25462646,4.483915382
2008,57.5011368,4.9424747685
2009,53.95566228,4.521650766
2010,50.435234394999995,4.0440714369999995
2011,64.33940911,7.2292650585
2012,50.81433759,4.4567331249999995
2013,49.51086042,4.400742605
2014,41.77151559,3.390219892
2016,39.443857205,4.8488718295
2018,42.74449973,3.198710058
2019,40.55452,
2020,39.98125358,3.031482853
2021,38.5178428,3.534736255
